row_id	source_kind	status	source_bundle	source_row_id	condition	rows	accepted_rate	mean_reward	needs_human_rate	zero_touch_success_rate	known_zero_touch_success	human_interactions_after_assignment_total	known_human_interactions_after_assignment	active_touch_minutes_after_assignment_total	known_active_touch_minutes_after_assignment	manual_commands_total	rescue_rate	manual_rescue_counts	intervention_severity_counts	evidence_1	evidence_2	evidence_3	notes
prompt_only_argus	prompt_only_condition	current_evidence	benchmarks/evidence/prompt-only-tb2-smoke-20260515T1435Z	argus	argus	6	0.8333333333333334	0.8333333333333334	0.0	0.8333333333333334	6	0	6	0.0	6	0		{"none": 6}	{"zero_touch": 6}	benchmarks/evidence/prompt-only-tb2-smoke-20260515T1435Z/summary.tsv	benchmarks/evidence/prompt-only-tb2-smoke-20260515T1435Z/logs/summary.json	benchmarks/evidence/prompt-only-tb2-smoke-20260515T1435Z/logs/results.csv	Condition-level prompt-only metrics derived from the archived smoke bundle. Keep the generated package and the raw bundle together.
prompt_only_codex	prompt_only_condition	current_evidence	benchmarks/evidence/prompt-only-tb2-smoke-20260515T1435Z	codex	codex	6	1.0	1.0	0.16666666666666666	0.8333333333333334	6	0	6	0.0	6	0		{"none": 6}	{"needs_human": 1, "zero_touch": 5}	benchmarks/evidence/prompt-only-tb2-smoke-20260515T1435Z/summary.tsv	benchmarks/evidence/prompt-only-tb2-smoke-20260515T1435Z/logs/summary.json	benchmarks/evidence/prompt-only-tb2-smoke-20260515T1435Z/logs/results.csv	Condition-level prompt-only metrics derived from the archived smoke bundle. Keep the generated package and the raw bundle together.
manual_followup_annotation	manual_followup_row	current_evidence	benchmarks/evidence/tb2-manual-followup-20260515T202500Z	manual-followup-annotation	argus	1	0		1	0	1	2	1	6.0	1	1	0	{"failed": 1}	{"manual_rescue": 1}	benchmarks/evidence/tb2-manual-followup-20260515T202500Z/summary.tsv	benchmarks/evidence/tb2-manual-followup-20260515T202500Z/logs/results.csv	benchmarks/evidence/tb2-manual-followup-20260515T202500Z/RESULTS.md	The manual-follow-up annotation preserves the user-study schema and records a failed rescue attempt instead of a success.
