row_id	status	source_bundle	source_row_kind	condition	reward	wall_minutes	n_total_trials	n_completed_trials	n_running_trials	n_pending_trials	n_errored_trials	exception_kind	exception_count	infra_failure_kind	infra_failure_count	input_tokens	cached_input_tokens	output_tokens	cost_usd	input_tokens_missing_cause	cached_input_tokens_missing_cause	output_tokens_missing_cause	cost_usd_missing_cause	evidence_1	evidence_2	evidence_3	notes
argus_v12_redux	current_evidence	benchmarks/evidence/tb2-argus-v12-redux-20260515T201322Z	aggregate	argus-v12-redux	0	43.34	89	89	0	0	17	none	0	docker_address_pool_exhaustion	1					aggregate_result_missing_token_total	aggregate_result_missing_token_total	aggregate_result_missing_token_total	aggregate_result_missing_cost_total	benchmarks/evidence/tb2-argus-v12-redux-20260515T201322Z/summary.tsv	benchmarks/evidence/tb2-argus-v12-redux-20260515T201322Z/RESULTS.md	benchmarks/evidence/tb2-argus-v12-redux-20260515T201322Z/jobs/index.tsv	Comparison row backed by the archived TB2 bundle; keep the generated table and bundle-local paths together.
bare_gpt54	current_evidence	benchmarks/evidence/tb2-bare-gpt54-20260515T201322Z	aggregate	bare-gpt54	0.662921	61.88	89	89	0	0	27	none	0	docker_address_pool_exhaustion	1					aggregate_result_missing_token_total	aggregate_result_missing_token_total	aggregate_result_missing_token_total	aggregate_result_missing_cost_total	benchmarks/evidence/tb2-bare-gpt54-20260515T201322Z/summary.tsv	benchmarks/evidence/tb2-bare-gpt54-20260515T201322Z/RESULTS.md	benchmarks/evidence/tb2-bare-gpt54-20260515T201322Z/jobs/index.tsv	Comparison row backed by the archived TB2 bundle; keep the generated table and bundle-local paths together.
argus_v12_true_023000z	current_evidence	benchmarks/evidence/tb2-argus-v12-true-20260516T023000Z	aggregate	argus-v12-true	0.011236	6.16	89	89	0	0	80	none	0	docker_compose_failure	1	2.85395e+06	1.58182e+06	102480	3.55539					benchmarks/evidence/tb2-argus-v12-true-20260516T023000Z/summary.tsv	benchmarks/evidence/tb2-argus-v12-true-20260516T023000Z/RESULTS.md	benchmarks/evidence/tb2-argus-v12-true-20260516T023000Z/jobs/index.tsv	Comparison row backed by the archived TB2 bundle; keep the generated table and bundle-local paths together.
